tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,x54KsLygldySRmhBiZ9rW4HcWFlfsc0vR3DAwV6LHRzKa8g,쭌 베,359,132,122,True,False,False,True
GRANDMASTER,We_Cbk73YPWQzpAk-ngMF2-cPVu9JakUNErQybiT5O2jBw,wobunenglijie,315,107,88,False,False,False,False
GRANDMASTER,oWID-Y-cOtsSDNlrDvvV45wwAY_bErqXn62ul74gdFc2IqM,Nalalala,228,54,41,False,False,True,False
GRANDMASTER,v2TJrHzeTDWt0Cr7VX7LVaXpwbwhGI4Gu3auF4W2gitKymI,03o614,283,88,79,False,False,True,False
GRANDMASTER,I_1dP7wXZntnnWrEsT18zBSQ-zEe4wdiezqnsV-J_pj8HNGvAIvmzxxMPA,LCK Progamer,432,86,65,False,False,True,False
GRANDMASTER,gc1zPFtBDI3tOTmNLX8fq7Te7TFL7IGzdCtVYnZhi-alNw,honttoni umai,224,74,52,False,False,True,False
GRANDMASTER,E2_Gkf-1xUbFw9V3rt7WW-YSx_MvJKX1D0-EjvBF9IkhtFqC,잠 컨,200,101,93,False,False,True,False
GRANDMASTER,m4zJU-Hhg8OFJgtP0uPVYez0cPydqJ3whJZJPvD7dTOm61Y,E dal,339,147,132,False,False,True,False
GRANDMASTER,KqXC4v7Gbqv2dtUtVh8ZJvQpbqw_x1nCtphiUQCp5Vrr04iVioPF1w-mEw,비엘지 탑,313,80,60,False,False,False,False
GRANDMASTER,foJZkJtjznev92Ax-zqTVy5dX87OXIayLqoHrb-Kq21Gfk8,yukee,132,100,91,False,False,True,False
GRANDMASTER,HslSfli0XmiG0p9e4sw3UsKjqgd6W27fw3l9LNMuAAdna6o,펭귄빙산추락,516,85,60,False,False,True,True
GRANDMASTER,lTZpHq9vqkiLokS6ndXLa8pRuyA_n5VinUGNbL0VzpGKIlrcwpsnW9eUbQ,Anger king,288,247,227,False,False,True,True
GRANDMASTER,LNVgX02KLhdEBurrbxHMOU_LOwXY36FR_qJM5NiAIs4kq4XoRkziFY_Rrg,RPGKingzhipeng,429,98,72,False,False,True,False
GRANDMASTER,sIlgaooDKknn3ug2QlTLsqrpdotJplyAWYEGRwRhHNX2op4,Brrain,256,104,89,False,False,False,False
GRANDMASTER,MfDCudGd2Pca8JGZJkn7uIBGbhMfvZ8LPeveCIK0M0ikhv8,DK Kingdom,351,171,166,True,False,False,False
GRANDMASTER,bU66v6NQPaW7vvsDmzhaTsPRUJp0vA031vop9a_ItENHlsI,Luv you,204,112,98,False,False,True,False
GRANDMASTER,EG9Bh_nq9PCmMW8gVipZNsqDTyGD2Xdi1RH7XjxVBDF8paw,제리고수 강제리,381,180,161,False,False,True,False
GRANDMASTER,CR4eqEP1tPBmTjZP8H3yor80Kmc_xp_tl8HF2lNoIf6Ewe0,Lehends,413,90,82,False,False,True,False
GRANDMASTER,eGMi6ULh4oGFOAkn8z2I3_iQJYrgoZO5YFCI1pkZGRSXQQI,도구는 툴툴,415,89,67,False,False,False,False
GRANDMASTER,6md4O88QZkcHNVZgkqLByTEYRbDQZSAgbeGaaYO74VQ5JnM,퉤 현,203,52,32,False,False,True,True
GRANDMASTER,HnDUncQdVJkGxHhHsROk_blD0PZ3_LECWZno6fWC4-TONuc4EPb0Q0q7gQ,thomeboydontk1ll,254,73,51,False,False,True,False
GRANDMASTER,7s8urcPFYsM1qviKaGaRMlYl52v-bG0z0AqwY6NwTdLEfNA8EDOTyplZaA,온 재,407,134,115,False,False,True,False
GRANDMASTER,XtxqGDsDx8MYtZBdOZNR3LUXT2ZcJpxUb5u3Ijb1UpEcfSY,다없수질,440,97,90,False,False,True,False
GRANDMASTER,gSMod7LAgXEb_fYuyzRXeYVAMbO63okGoKV8M7cY71tUBw,B1gFour,202,130,121,False,False,True,True
GRANDMASTER,UudwK4D27f2DiUtA66q46B0qmt9MAItTwH5Bt9gYHGdNsBc,틀니의호흡 제1딱,320,106,82,False,False,False,False
GRANDMASTER,Pv1klG9Yw3VcWVfjUzUjzGFojmU6YnBbk9cNFh8DATZVVQ,그것이 매지컬,200,86,67,False,False,True,True
GRANDMASTER,3EngBZmbyF2aPK_N7tRXgUiPDvWOf9DX3OpAeAgmxScqZQ,병권좌,438,113,92,False,False,False,False
GRANDMASTER,nvqFCfaUq6ji9WsHtBpuCuUTAR7j3qw8OEzJVMOi5VvaKGA,Toptip,200,51,34,False,False,True,True
GRANDMASTER,J-943hOSqXgrwfIjkqKELdd0T0mf72bLpIdiCo4M2fc-4z8hDVHSIe5gdw,BernKasteI,212,49,33,False,False,True,False
GRANDMASTER,F0xLq_GhSkZXN-Yutz4yvB2lzBLRPwV88FW3AXHnpPXjqABp,가민준,461,90,80,True,False,False,False
GRANDMASTER,qk07nXhCJwk5XInTqBR1YCz6G5qs4dzUQyIrHNpZZ3fp0nk,DK Sharvel,453,188,167,False,False,True,False
GRANDMASTER,xaKSw8hoitBQtyMnf3WOP8DEQ3k9sqyI7GXIvkEAecxznA,불타버린 발바닥,209,71,55,False,False,True,True
